RETAILER_GEOGRAPHY_DISPLAY_NM,PROD_AMT,TEST_AMT,PROD_UNITS,TEST_UNITS
NORTH AMERICA,3584951528.893,3584951528.893,58712143.000,58712143.000
GREATER CHINA,1489844193.556,1489844193.556,23713267.000,23713267.000
APLA,1059857632.868,1059857632.868,19769439.000,19769439.000
EMEA,2303782568.844,2303782568.844,47968015.000,47968015.000
